rotationVector_x,rotationVector_y,rotationVector_z,accelerometer_x,accelerometer_y,accelerometer_z,magneticField_x,magneticField_y,magneticField_z,gravity_x,gravity_y,gravity_z,linearAcceleration_x,linearAcceleration_y,linearAcceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.0013991836,-0.004343638,0.45611387,0.08135986,-0.011962891,9.810577,12.173462,9.820557,-47.888184,0.08833111,-0.014436304,9.806242,-0.00027852505,0.001040048,-0.0008649826,-3.0517578e-05,-9.1552734e-05,-3.0517578e-05
0.0014364565,-0.004330059,0.45603734,0.095718384,-0.01914978,9.815353,12.260437,9.898376,-47.651672,0.088428706,-0.013656655,9.806242,-0.00038212538,0.0012073191,0.0013380051,9.1552734e-05,-0.00015258789,0.00010681152
0.0014494942,-0.0043415762,0.45604858,0.08135986,-0.01675415,9.8033905,10.980225,10.334778,-49.246216,0.088746175,-0.0135332225,9.806239,0.0004987791,0.0003654519,-0.0018234253,-3.0517578e-05,-3.0517578e-05,-9.1552734e-05
0.0013899456,-0.0043660155,0.45617723,0.090927124,-0.0143585205,9.810577,12.112427,10.255432,-47.94922,0.08863797,-0.014804041,9.806238,-0.00033719838,-0.0024228254,-0.00041103363,-3.0517578e-05,-3.0517578e-05,3.0517578e-05
0.0013490741,-0.0043974007,0.4562997,0.086135864,-0.01914978,9.810577,11.627197,10.299683,-48.524475,0.08881789,-0.015810423,9.806235,0.00042507797,-0.0019040182,0.00084495544,-3.0517578e-05,1.5258789e-05,-0.00021362305
0.0013157437,-0.0043977103,0.4563405,0.08375549,-0.01914978,9.808182,11.514282,9.564209,-48.59314,0.08852425,-0.01639894,9.806237,-0.00071232766,-0.0008277856,-0.00071811676,-9.1552734e-05,-3.0517578e-05,-0.0001373291
0.0013325745,-0.0044383076,0.45641506,0.088531494,-0.011962891,9.812973,11.726379,10.516357,-47.42737,0.089381985,-0.016476067,9.806229,0.0017831028,0.00044021755,0.0008029938,-0.00015258789,1.5258789e-05,0.00016784668
0.0013413563,-0.0044256155,0.45637485,0.088531494,-0.01675415,9.805786,11.470032,10.28595,-48.143005,0.08923985,-0.01620517,9.806231,-0.00022648275,0.0008865092,5.722046e-05,-9.1552734e-05,1.5258789e-05,-0.00021362305
0.0013053977,-0.004415827,0.45639527,0.090927124,-0.0143585205,9.812973,11.779785,9.941101,-47.69745,0.08874678,-0.016747108,9.806234,-0.00022181869,-0.0014401358,3.528595e-05,9.1552734e-05,0.00019836426,-9.1552734e-05
0.0013170713,-0.0043814057,0.45630082,0.086135864,-0.01675415,9.815353,12.312317,11.0672,-47.564697,0.08825232,-0.0162259,9.80624,-0.00069226325,0.0011520796,0.0008163452,-3.0517578e-05,7.6293945e-05,-0.00015258789
0.0013267867,-0.004379984,0.4562858,0.088531494,-0.0143585205,9.7986145,11.587524,11.01532,-47.242737,0.08831473,-0.016042136,9.806239,-0.00025592,0.00072225183,-0.0023231506,-9.1552734e-05,-9.1552734e-05,-0.00021362305
0.0013721238,-0.0043491162,0.4561592,0.088531494,-0.01675415,9.800995,11.471558,10.437012,-48.789978,0.08818388,-0.0149620995,9.806242,-0.000372231,0.0022825012,0.0006799698,-3.0517578e-05,-3.0517578e-05,0.00016784668
0.0013751131,-0.0044068675,0.45629048,0.088531494,-0.011962891,9.815353,11.78894,10.15625,-47.502136,0.0892163,-0.015439788,9.806232,0.001709573,-0.0015430283,-0.00033950806,0.00015258789,-9.1552734e-05,-3.0517578e-05
0.001353281,-0.0043995157,0.45629957,0.08375549,-0.01914978,9.796219,11.889648,9.161377,-49.899292,0.088892445,-0.015755918,9.806234,-0.00035968423,-0.00075431727,-0.00055217743,3.0517578e-05,7.6293945e-05,-0.00015258789
0.001335819,-0.004432766,0.45639822,0.090927124,-0.007171631,9.815353,12.359619,10.342407,-47.639465,0.08931464,-0.016368153,9.80623,0.0011401922,-0.001103295,0.00010967255,-3.0517578e-05,7.6293945e-05,0.00010681152
0.0013601905,-0.004436269,0.4563771,0.093322754,-0.009567261,9.8033905,11.79657,10.3012085,-47.322083,0.089594305,-0.01597207,9.806228,0.0008579418,0.0011408571,0.0005607605,-9.1552734e-05,7.6293945e-05,-9.1552734e-05
0.0013632221,-0.0044312,0.4563616,0.08375549,-0.0143585205,9.810577,10.2127075,10.546875,-45.54596,0.08953326,-0.015872234,9.806229,-4.9076974e-05,0.0005539376,0.0014829636,-9.1552734e-05,1.5258789e-05,0.00010681152
0.001374751,-0.004462948,0.45642188,0.095718384,-0.0143585205,9.808182,10.293579,10.63385,-46.36383,0.09018941,-0.015961317,9.806223,0.00072956085,0.00016991422,-0.000118255615,-9.1552734e-05,-0.00015258789,-3.0517578e-05
0.0014118844,-0.004432652,0.4563065,0.086135864,-0.0143585205,9.805786,11.882019,10.533142,-48.260498,0.08999509,-0.015030425,9.806226,-2.3566186e-05,0.002105277,-0.00244236,-0.00015258789,-3.0517578e-05,3.0517578e-05
0.0013967562,-0.0044708014,0.45641375,0.088531494,-0.026321411,9.808182,11.747742,9.356689,-48.191833,0.090523586,-0.015646785,9.80622,0.0011228696,-0.0018249024,0.0007619858,0.00015258789,1.5258789e-05,-3.0517578e-05
0.0013918917,-0.004427972,0.4563196,0.090927124,-0.01675415,9.808182,12.124634,10.548401,-48.042297,0.089734256,-0.01533877,9.806228,-0.002393037,0.00073612295,0.00051021576,-3.0517578e-05,-0.00021362305,0.00010681152
0.0013718196,-0.0044447915,0.456383,0.093322754,-0.0143585205,9.805786,12.657166,9.927368,-48.339844,0.08984701,-0.015846007,9.806226,0.00012583286,-0.0004184097,0.0017747879,-0.00015258789,-3.0517578e-05,0.000289917
0.0014053178,-0.004424293,0.45629486,0.086135864,-0.021530151,9.8033905,9.992981,9.832764,-49.30725,0.08979064,-0.0150690405,9.806228,0.00017178804,0.0016723918,-0.0010557175,-3.0517578e-05,7.6293945e-05,-3.0517578e-05
0.0013930298,-0.004431386,0.4563262,0.095718384,-0.01675415,9.805786,12.591553,10.217285,-48.353577,0.08980391,-0.015350133,9.806227,-0.0007909015,-0.0011587199,0.0007429123,0.00015258789,-0.00021362305,-0.00021362305
0.001417563,-0.004437235,0.45631036,0.090927124,-0.011962891,9.820145,11.184692,10.987854,-47.23053,0.09012582,-0.01497273,9.806224,6.997585e-05,0.0015778653,0.0016069412,-0.00021362305,-0.00015258789,3.0517578e-05
0.0014462194,-0.0044310107,0.45626137,0.08375549,-0.0143585205,9.805786,12.185669,10.040283,-47.76764,0.09027445,-0.014411938,9.806224,0.00017078221,0.0010161372,-0.001156807,3.0517578e-05,-3.0517578e-05,0.000289917
