rotationVector.y,rotationVector.x,magneticField.y,rotationVector.z,gravity.y,magneticField.z,linearAcceleration.y,gyroscope.y,gravity.x,gyroscope.z,gyroscope.x,magneticField.x,linearAcceleration.z,accelerometer.z,accelerometer.x,accelerometer.y,gravity.z,linearAcceleration.x
0.5637437,-0.27453044,41.8808,-0.08135441,-5.071022,1.5411377,-5.5485597,0.6755676,-8.128051,1.6052704,0.3035736,16.810608,2.0167637,4.6786804,-3.912262,-9.505249,2.095212,2.0580087
-0.5626829,-0.3468012,-3.6636353,-0.0414062,-4.639496,23.997498,-7.353542,-5.4121094,8.550614,-12.110657,-1.7736206,-35.134888,4.196262,-1.8312378,5.2747345,3.407135,1.2379296,-8.222415
-0.67810935,-0.15587132,-14.431763,-0.38761908,3.3067584,16.165161,2.3822398,1.8241882,9.227071,0.357193,-0.087127686,-41.22162,-2.437227,-0.7874756,10.549484,0.34838867,0.3112989,2.4431705
-0.5853531,-0.16316006,-2.319336,-0.34264946,1.6410708,2.7832031,-0.40514147,1.6190491,9.322118,1.5419769,0.28256226,-46.987915,-1.9155866,2.0197754,10.9787445,-0.69918823,2.5642543,5.31547
-0.4860483,-0.15967144,12.95166,-0.14527765,-1.267136,-5.2352905,-0.31152105,0.52389526,8.528004,1.7215118,1.4628296,-46.299744,-0.34990692,3.862976,11.86409,0.12705994,4.673106,6.4077034
-0.5450874,-0.048201576,28.367615,0.08780532,-1.7256432,-7.38678,1.6186036,-1.4878235,8.815869,2.4427643,3.073883,-40.571594,1.6216302,4.5640717,9.2487335,1.1188812,3.933571,6.2835464
-0.5920644,0.14119563,32.05719,0.4455363,-3.3556035,-13.970947,2.9182005,-2.295761,8.857582,1.5363617,3.6273804,-32.980347,2.8972228,3.2126007,7.426605,-0.9949341,2.540384,3.7876124
-0.55350024,0.36098516,23.243713,0.5710451,-2.750755,-17.182922,0.49479198,-1.751236,9.33065,-0.23760986,2.2999725,-37.72888,2.4688141,4.129532,8.847946,-1.8843536,1.2420554,1.7582335
-0.4608822,0.4297927,16.90216,0.6125701,-1.5154977,-26.419067,-0.9744764,0.79652405,9.476455,-0.25032043,1.2198181,-35.50415,3.2995377,3.9840546,11.30011,-1.1540527,2.0175388,3.3307147
-0.37240934,0.46240127,15.132141,0.65980494,-0.6420369,-32.940674,-0.4595672,0.618454,9.348228,0.27729797,0.7980194,-28.877258,1.6412174,4.9040833,9.208786,-1.1449585,2.89289,4.6643605
