rotationVector.y,rotationVector.x,magneticField.y,rotationVector.z,gravity.y,magneticField.z,linearAcceleration.y,gyroscope.y,gravity.x,gyroscope.z,gyroscope.x,magneticField.x,linearAcceleration.z,accelerometer.z,accelerometer.x,accelerometer.y,gravity.z,linearAcceleration.x
-0.6561395,-0.2742135,31.640625,0.6543729,-9.803737,-12.837219,0.18698215,-0.27061462,-0.21114321,-0.018676758,-0.4590912,3.3859253,1.8949167,2.1966095,-0.90448,-11.07399,-0.11203316,-1.0238365
-0.63348335,-0.23645347,32.62329,0.68829644,-9.770406,-8.963013,-0.46839142,-1.0733032,0.07250103,0.021575928,1.1591644,-3.2974243,0.5197256,0.4665985,-0.8111725,-7.4727783,0.8392249,-0.61218333
-0.6330348,-0.10765805,31.413269,0.75156796,-9.650384,-13.452148,-0.40328217,-2.0335236,0.2887155,0.13421631,0.03527832,-12.156677,-1.4504638,2.8378906,-0.43310547,-8.812759,1.7196286,0.7151357
-0.6318812,0.011079945,31.5094,0.7745486,-9.593536,-15.449524,0.41200733,-0.9924774,0.49099606,0.24032593,0.035842896,-16.43219,-0.044561744,1.6175537,-0.55752563,-8.767303,1.9731648,-1.5311546
0.63313943,-0.01922659,31.08368,-0.7734723,-9.6134205,-14.851379,0.7900171,-0.47850037,0.012516333,0.28431702,0.056243896,-18.37616,0.29242527,4.9100647,0.28474426,-9.61676,1.9371034,0.15906516
0.6559742,-0.05578618,29.872131,-0.7515563,-9.715145,-14.752197,-1.9157352,0.1968689,0.28426123,-0.19247437,-0.42518616,-15.774536,0.97634304,-0.4737854,-1.2442627,-6.7836456,1.3059667,-0.4631679
-0.66005945,-0.021701211,30.863953,0.7505814,-9.726293,-15.4800415,0.8265743,2.0691986,-0.03638924,-0.11830139,0.04902649,-15.171814,-0.7750883,1.0695953,-0.04307556,-9.5234375,1.2523209,-2.5539024
-0.64901114,-0.16369253,31.500244,0.72125006,-9.753385,-21.81549,0.038132668,2.239563,-0.04610011,-0.43284607,-0.24473572,-8.518982,0.26516342,2.498108,-1.1126556,-8.93959,1.0196823,-0.60428315
-0.58841467,-0.30834523,31.851196,0.6630851,-9.7388115,-26.454163,0.3509016,2.2403564,-0.028816871,-0.09185791,0.21322632,-0.4928589,1.4279398,-1.9118652,2.9599152,-13.093521,1.1511323,-2.298821
-0.5030714,-0.4319523,29.724121,0.575536,-9.733779,-27.909851,-0.35250664,2.5051727,-0.15327463,-0.24414062,-0.21810913,13.401794,-0.23362303,0.933197,1.1365967,-8.573486,1.1833946,1.3370866
-0.3849295,-0.5664689,32.357788,0.4251525,-9.784508,-17.637634,0.26054955,2.6600952,-0.25590038,-0.121658325,-0.2722168,24.620056,1.3008907,1.3471527,-0.8805542,-9.74118,0.60687995,0.71059346
-0.24726552,-0.65756536,33.06427,0.26596126,-9.80316,-0.7217407,0.04793358,1.8748169,-0.22882675,0.006134033,0.043777466,26.23291,0.989893,1.1629181,1.0289154,-8.164307,0.12685059,0.5524547
-0.15126029,-0.6865071,31.260681,0.20347936,-9.779662,8.099365,0.59333897,0.8346863,-0.71800596,0.3245697,-0.049743652,23.164368,0.00030640513,-2.0482635,0.22013855,-10.882553,0.114312425,0.9786129
-0.08868569,-0.69743574,30.729675,0.15508203,-9.763304,11.398315,-1.3073578,0.72509766,-0.914173,0.1013031,0.5308838,21.07544,0.9652651,5.95813,-3.2638092,-6.891327,0.112153195,0.18787414
-0.024652924,-0.66350025,30.628967,0.101050206,-9.690649,12.356567,0.7067995,0.8895416,-0.9567608,-0.15885925,0.22612,17.459106,1.4678408,1.8065796,-1.2442627,-9.480362,1.1603162,0.20064813
0.029235572,-0.6650946,31.385803,0.030868664,-9.707747,16.984558,0.072309494,1.0354156,-0.8301741,-0.2195282,-0.19940186,15.113831,0.56500435,1.2346954,-0.6006012,-9.88475,1.1139262,0.030198991
0.08006109,-0.68638885,29.821777,-0.03512482,-9.774439,19.302368,0.12706375,0.76205444,-0.6608045,-0.037857056,-0.31932068,11.602783,0.9631419,1.5744781,-0.093322754,-9.434906,0.4405263,0.92586195
-0.20123868,-0.6217102,31.732178,0.2856173,-9.675175,18.267822,-0.29879093,0.47799683,-0.7159383,0.11706543,0.23008728,9.507751,-0.7669686,-0.110076904,-2.3066864,-11.392227,1.431368,-0.23025113
-0.27686155,-0.54677993,34.14612,0.3441726,-9.496835,12.995911,-0.28233528,-0.7323761,0.17142949,-0.18824768,0.7165222,10.136414,-0.99815345,0.43788147,0.22970581,-12.157928,2.4394906,-0.6509143
-0.33815235,-0.48496503,36.643982,0.3967578,-9.310303,7.6141357,-0.18438816,-0.91038513,0.8831353,-0.2605133,0.55104065,11.973572,-0.27074885,2.3090668,0.5934143,-9.9756775,2.9510548,-0.08209485
-0.39767855,-0.45469087,36.576843,0.47011432,-9.405576,5.5984497,0.50539494,-1.0126953,0.82673997,0.11968994,0.11268616,12.919617,0.39420605,3.2374878,2.1248322,-9.135803,2.6499135,-0.06561297
-0.471226,-0.42884463,33.39081,0.55694723,-9.628665,3.0181885,0.2968998,-1.5081177,0.23953925,0.5448456,-0.28041077,19.517517,0.6585673,2.0626068,-1.8352966,-16.579865,1.8444021,0.6370657
-0.5676328,-0.38760754,31.262207,0.6024122,-9.791552,3.617859,-0.42195892,-1.2965088,-0.062146403,0.59347534,-0.6256714,23.773193,-0.21365553,4.063019,-5.5417786,-11.059631,0.5404134,-0.37239134
-0.6170942,-0.28907415,31.37207,0.65041715,-9.774586,-2.9190063,-2.18186,-1.5369568,0.3734798,0.19067383,-0.17932129,23.565674,0.66222286,3.3260193,-2.6560364,-12.40918,0.6988389,-2.4869277
-0.38001817,-0.3111827,19.044495,0.86071444,-7.2323327,-19.117737,-3.9538121,-0.6434326,-4.255399,0.6139984,0.9391327,31.425476,-4.5765734,-5.929413,14.648865,1.7036896,5.074971,3.52285
-0.5477487,-0.07999571,28.285217,0.7841535,-8.86437,-33.996582,4.3976707,-2.536087,1.7830417,2.2692108,0.072250366,18.43872,7.2744846,4.8717804,-2.5866394,-10.80838,3.796587,7.4305553
-0.29606372,-0.026989449,19.334412,0.83991253,-5.117547,-39.11133,-4.687906,0.4874115,2.1919837,-3.7068634,1.217926,21.383667,-3.3503008,7.4488525,1.9286194,-7.9824524,8.073184,-3.9330485
-0.17832197,-0.07754398,17.150879,0.8952537,-3.7408378,-37.149048,-2.6826422,1.1348724,0.040503625,-0.33015442,1.2876282,27.17743,-0.2771368,8.528015,-0.83270264,-2.5770721,9.065036,1.0094113
-0.10072905,-0.06843838,5.6411743,0.9462539,-2.27163,-38.386536,0.005373955,0.27653503,-0.6782169,1.3009186,1.2562256,37.04071,0.6819,8.846268,-0.94277954,-1.2586212,9.515781,0.6027069
-0.057131045,-0.038366873,-5.9692383,0.9655479,-1.270772,-34.864807,0.7606069,0.4041443,-0.4453672,1.0022125,0.49264526,37.121582,-0.13186646,9.32962,0.21057129,-0.07896423,9.713762,-0.28740525
-0.055628657,-0.034367573,-8.509827,0.96235085,-1.2278204,-37.01172,1.0135183,-0.53067017,-0.36083108,0.1398468,0.12875366,32.64923,0.151515,9.8033905,0.122039795,-0.20578003,9.722791,0.43535173
-0.052802492,-0.033068366,-9.101868,0.9588476,-1.1726699,-36.79657,0.96261835,-0.00050354004,-0.33501816,-0.0012664795,0.0028381348,33.67157,0.043447495,9.805786,0.13877869,-0.20578003,9.730519,0.46335998
