rotationVector.y,rotationVector.x,magneticField.y,rotationVector.z,gravity.y,magneticField.z,linearAcceleration.y,gyroscope.y,gravity.x,gyroscope.z,gyroscope.x,magneticField.x,linearAcceleration.z,accelerometer.z,accelerometer.x,accelerometer.y,gravity.z,linearAcceleration.x
0.03827872,-0.7010038,41.215515,-0.0476839,-9.804893,22.140503,-0.03227806,-0.07409668,0.12215879,0.0009918213,0.0076141357,-5.506897,-0.17652147,-0.29193115,0.36131287,-9.734009,0.13981244,0.094134636
0.048511487,-0.70033944,40.73944,-0.052632585,-9.805528,20.851135,0.01352787,-0.36260986,0.047213793,0.019989014,0.05783081,-4.008484,0.3052776,0.95951843,-1.0935211,-9.726822,0.14065306,-0.14048442
0.04399953,-0.70394564,41.555786,-0.030253308,-9.804615,22.615051,0.041089058,-0.5027466,-0.19349915,0.09030151,-0.054275513,-2.508545,1.154833,1.6247253,-0.8422699,-9.542572,0.049515847,-0.92558014
0.05925428,-0.6936595,40.792847,-0.042053528,-9.798574,21.040344,0.24926472,0.034942627,-0.2607098,0.06996155,-0.04547119,-1.0284424,0.8220322,0.19142151,0.3014984,-9.489929,0.30058238,0.17743123
0.04194841,-0.68924993,41.130066,-0.061030354,-9.793363,20.869446,-0.5031185,0.22869873,0.23205942,-0.050079346,0.12434387,-2.5421143,-0.47562107,-0.04547119,1.5625153,-9.736389,0.4545348,0.43598366
-0.022114906,-0.6730515,42.09442,-0.036646947,-9.730966,19.969177,0.21553516,-0.28778076,0.8040268,-0.31414795,0.13626099,-3.4729004,-0.44637638,0.026321411,0.8566284,-9.169296,0.9122663,-0.0902912
-0.08673846,-0.6576461,41.897583,0.040265124,-9.706764,15.350342,0.14185238,-0.81074524,0.75184864,-0.063690186,0.27676392,-0.38146973,-0.2695923,0.9308014,0.64367676,-10.248459,1.1763668,0.37998635
-0.14915201,-0.63486433,42.96875,0.11825364,-9.669961,12.68158,0.12967396,-0.9832001,0.71807367,0.124938965,0.2679596,5.517578,0.37230754,2.2636108,1.076767,-9.355942,1.4651325,0.075534105
-0.19079284,-0.6214171,42.869568,0.18524836,-9.67541,9.19342,0.39721298,-1.0315857,0.49997684,0.22602844,0.14468384,9.104919,0.7115655,3.1537476,1.8496552,-9.205185,1.5188318,0.4387542
-0.21405962,-0.629091,42.30194,0.19632527,-9.720678,9.77478,-0.73712826,-0.67367554,0.60480016,0.15615845,0.02281189,10.533142,-0.030821681,-1.1198425,-2.0817566,-9.317657,1.1458676,-0.75810784
-0.14566356,-0.65424496,41.72516,0.13711785,-9.750625,11.845398,-0.17897987,0.23139954,0.3242146,-0.023071289,-0.19366455,8.674622,-0.62296045,0.4402771,-0.47616577,-9.9756775,0.99528927,-1.7075521
-0.08849757,-0.6673233,40.856934,0.08570215,-9.762308,14.129639,0.07520962,1.0574036,0.15320313,0.0048980713,-0.09703064,5.758667,-0.0044838786,1.0959167,0.0023956299,-9.573685,0.91883963,-0.0833634
-0.053558704,-0.67773587,40.130615,0.029726058,-9.7714,16.941833,0.20078468,0.57922363,0.3745886,-0.067108154,-0.12683105,1.725769,0.67871577,1.4691925,-1.0743713,-9.566513,0.74149215,-1.2642231
-0.017904019,-0.6612706,40.56549,-0.01946215,-9.716305,15.391541,0.058137894,0.61331177,0.51567394,-0.22776794,-0.041809082,-0.680542,-0.60483277,0.44506836,0.899704,-9.786652,1.2238826,-0.5791528
-0.024575438,-0.66325647,40.467834,-0.035191353,-9.702582,16.304016,-0.5121803,0.49931335,0.81792724,-0.13583374,0.30039978,-3.1707764,-0.6389297,0.9571228,2.3617096,-8.762512,1.1667343,1.3555284
-0.049963478,-0.6649565,38.87329,-0.019589227,-9.696455,14.021301,0.39457607,-0.12919617,0.9854968,-0.111465454,-0.14596558,-3.2592773,0.10206139,0.5024872,2.2875366,-9.920639,1.0853312,0.68590385
-0.16946767,-0.6344032,38.822937,0.098359,-9.63106,14.660645,-0.052775383,-0.9203949,1.2615504,0.06072998,0.19026184,-0.6820679,-0.16173756,1.5936127,0.79681396,-9.401398,1.3496554,-0.27118742
-0.18999018,-0.604124,39.649963,0.13458444,-9.531749,12.606812,0.07365799,-0.7667694,1.2452363,-0.0040130615,0.34028625,3.843689,-0.24045968,1.9621124,1.5385895,-9.332016,1.9404993,-0.2731595
-0.1943371,-0.61086005,40.771484,0.16624948,-9.610975,8.711243,0.25323868,-0.24227905,0.86417794,0.13092041,0.23283386,4.9072266,0.5061476,2.3306122,1.2753754,-9.63829,1.7472143,0.35394013
-0.20522812,-0.6304379,39.793396,0.20782082,-9.729331,8.92334,-0.32732868,-0.2973175,0.3252025,0.35021973,-0.25769043,7.763672,0.6095227,2.292328,0.095718384,-10.02832,1.1852216,0.61106527
-0.13541065,-0.65254873,38.323975,0.12206235,-9.737441,8.616638,0.022174835,-0.30873108,0.39111856,0.14918518,-0.20478821,9.786987,0.3600937,-0.928421,-1.6845398,-9.394226,1.0952879,-0.48262697
-0.10199314,-0.6638094,37.76703,0.09267579,-9.755964,10.218811,-0.097473145,-0.025482178,0.26390976,0.016937256,-0.08970642,10.33783,-0.6097238,0.095718384,-0.5479584,-9.662216,0.9601579,-0.74704415
-0.054439787,-0.67050636,36.97357,0.05785878,-9.762341,10.623169,0.055544853,0.5836792,0.026716795,0.05834961,0.08885193,9.422302,-0.1305092,1.7946167,-0.37806702,-9.477966,0.9307985,-0.5058796
-0.018427553,-0.6732515,36.154175,0.0059884936,-9.762533,12.391663,0.25169754,0.60292053,0.18807466,-0.0811615,-0.18383789,8.273315,1.0607054,0.70588684,0.009567261,-9.466003,0.9099161,-1.0541693
-0.0047652465,-0.66164404,35.73456,-0.029848836,-9.7197075,14.804077,-0.3929882,0.53004456,0.45737174,-0.12411499,0.18353271,4.411316,-0.90828896,0.26081848,2.5507507,-11.126633,1.2200346,0.77770716
-0.028010005,-0.6754005,36.618042,-0.028817743,-9.738544,14.76593,0.08971596,0.1088562,0.7862744,-0.21157837,-0.052749634,2.3590088,-0.49897748,0.119644165,1.0049896,-9.580856,0.8443448,0.53226674
-0.029153613,-0.6909077,36.33423,-0.018713782,-9.7746315,15.348816,0.14689732,-0.13928223,0.666493,-0.02154541,-0.15316772,1.4663696,-0.13910818,0.55752563,1.1964111,-9.47319,0.42750382,0.40632504
-0.0603556,-0.68228054,35.28595,-0.0069012754,-9.741283,17.332458,1.8119812e-05,-0.068359375,0.9548031,0.011932373,-0.11462402,1.2741089,-0.14330924,0.55513,1.1318054,-9.647858,0.60507965,0.5737225
-0.10404651,-0.6749799,36.106873,0.034649,-9.730121,14.241028,0.0697031,-0.4519806,1.0302712,-0.101623535,0.16809082,3.378296,0.006131172,1.179657,0.82073975,-9.559326,0.65854496,0.09126532
-0.14166622,-0.6515185,37.30316,0.07345649,-9.681342,17.501831,-0.028776169,-0.60824585,1.1220729,0.02041626,0.13406372,5.305481,0.0072268248,1.2131653,1.7348022,-9.604797,1.0876411,-0.053185105
-0.19076508,-0.62303,37.48169,0.12678088,-9.613568,11.341858,0.12462807,-0.6028595,1.2491075,-0.0027923584,0.30607605,7.2769165,0.13334107,2.2612152,1.5266266,-9.475586,1.479672,0.16201961
-0.23387289,-0.6030015,37.886047,0.19055519,-9.608202,6.2301636,0.4230919,-0.7566223,1.1338435,0.07649231,0.25585938,10.551453,0.7054579,2.0291138,1.4045868,-9.365509,1.6022626,0.43449152
-0.25602534,-0.60895514,36.924744,0.24534853,-9.706341,3.6239624,-0.5446472,-0.68618774,0.63254213,0.32670593,0.0415802,12.260437,0.4718138,0.74417114,0.14356995,-11.265411,1.2478889,0.9888961
-0.26853672,-0.6108465,36.190796,0.26962164,-9.738334,4.6676636,0.20829582,-0.38111877,0.42656595,0.16384888,-0.23979187,14.489746,-0.14957237,-0.7010956,0.059814453,-9.829712,1.0739174,-0.61358404
-0.26161566,-0.61364955,35.009766,0.28146672,-9.745978,4.196167,0.043870926,-0.3438568,0.15160926,0.17893982,-0.08114624,16.445923,0.1419679,1.4715881,0.6006012,-9.3703,1.078565,-0.56521523
-0.2636866,-0.63329476,34.64203,0.29952878,-9.785345,4.483032,0.26591682,-0.010574341,-0.29109722,0.22927856,0.07725525,18.605042,0.62380177,1.409378,-0.14596558,-9.284149,0.57677025,0.41272718
-0.2284759,-0.67073095,33.491516,0.2469526,-9.802375,5.821228,0.47274017,-0.0044555664,-0.2866301,0.1875,-0.41766357,18.966675,1.995292,2.6057892,-0.6149597,-10.19342,-0.040819325,-0.15912107
-0.20982075,-0.6176191,33.465576,0.22955482,-9.695214,10.174561,-1.1901455,0.87701416,0.19205232,-0.110305786,-0.20515442,15.782166,0.14038265,-0.38285828,-3.3332062,-7.755142,1.46162,0.005527526
-0.29460567,-0.5586142,34.95941,0.3020238,-9.569026,2.0080566,-0.36636066,-0.41526794,0.81715345,-0.20791626,1.2881775,14.335632,-1.6383884,2.4526367,-1.0743713,-8.3485565,1.9840356,0.37584317
-0.33455062,-0.53062296,34.539795,0.36354014,-9.553253,-1.4389038,0.55498886,-1.237381,0.73576266,-0.09075928,0.027526855,15.252686,-0.31187153,2.3234253,0.727417,-8.609375,2.089114,-1.1995854
-0.29501417,-0.5533102,33.755493,0.34807953,-9.576872,-3.9535522,0.53477764,-0.57385254,0.25490105,0.38223267,-0.06770325,17.453003,0.6589153,4.924423,2.416748,-9.817749,2.0949836,1.1869624
-0.3328785,-0.56027085,32.167053,0.35983178,-9.686369,-5.1879883,-0.9152937,-0.6826477,0.40513808,0.22773743,0.042373657,17.5354,0.22647762,-0.55274963,-1.3734741,-11.172089,1.4766556,-0.5418359
-0.2834919,-0.6006778,31.590271,0.32432023,-9.738263,-3.277588,0.13255501,0.072021484,-0.075967506,0.0073394775,-0.37834167,17.848206,-0.7077776,0.94755554,0.026321411,-9.690933,1.1536257,-1.1676927
-0.24656844,-0.6460436,30.56488,0.29410088,-9.782638,5.6396484,0.20389175,0.9916229,-0.53575844,0.12670898,-0.17332458,19.883728,0.1593926,1.105484,0.1651001,-9.4205475,0.42819107,0.9669454
-0.20997038,-0.67695284,31.948853,0.2435814,-9.793395,5.6365967,-0.18305397,0.41360474,-0.5076197,0.17790222,-0.4229889,17.689514,1.842149,2.7589264,0.7776642,-10.609772,-0.046143986,0.55453855
-0.29918072,-0.5535547,33.509827,0.30328885,-9.548973,-2.0935059,0.22458458,-0.7147217,0.90626955,-0.33668518,0.7919159,15.04364,-1.0210686,0.7082825,-0.31106567,-8.930008,2.0411186,-0.7434
