rotationVector.y,rotationVector.x,magneticField.y,rotationVector.z,gravity.y,magneticField.z,linearAcceleration.y,gyroscope.y,gravity.x,gyroscope.z,gyroscope.x,magneticField.x,linearAcceleration.z,accelerometer.z,accelerometer.x,accelerometer.y,gravity.z,linearAcceleration.x
0.0007481248,-0.0008813894,-8.853149,-0.33220875,-0.02117971,-48.710632,-0.06213094,-0.018753052,-0.008096957,-0.0016937256,0.0011291504,-13.183594,0.020709038,9.918243,-0.023925781,-0.22013855,9.806623,0.03225027
0.0013229355,-0.0046340097,-9.738159,-0.33749992,-0.094311446,-49.22943,-0.15515614,-0.0062408447,0.0062503917,-0.0016937256,0.0024719238,-12.339783,0.010454178,9.800995,-0.021530151,-0.25602722,9.806195,-0.0045627155
0.0020005053,-0.0069488417,-9.75647,-0.34081888,-0.14149867,-48.321533,-0.105627835,0.0040893555,0.0095638195,-0.058380127,0.0019226074,-12.495422,0.0029478073,9.789032,-0.13639832,-0.27757263,9.805625,0.008880846
0.0023556312,-0.008789187,-9.373474,-0.3614626,-0.17742197,-48.553467,-0.07588507,-0.003982544,0.019234922,-0.19355774,0.0018615723,-12.239075,0.0070581436,9.824936,0.83270264,-0.42591858,9.805026,0.0032726303
0.008512549,-0.007663745,-8.825684,-0.91727203,-0.21298541,-46.81244,-0.078587145,0.004638672,0.07141051,-0.43400574,-0.0018615723,-11.477661,0.0024137497,9.8033905,-0.5144501,-0.13877869,9.804077,0.1246016
0.01015983,-0.004569378,-8.172607,-0.9226474,-0.2184012,-46.64917,-0.022908509,0.0022583008,0.0058737095,-0.062469482,0.0039367676,-10.4019165,0.0021409988,9.808182,0.06939697,-0.18664551,9.804216,-0.18030912
0.0105282795,-0.004923363,-8.377075,-0.9282553,-0.22757804,-45.648193,-0.030246928,0.008605957,0.01286877,-0.08030701,0.0052948,-10.079956,-0.0007352829,9.805786,0.026321411,-0.2632141,9.804001,0.026139438
0.011170131,-0.004352042,-8.898926,-0.92929745,-0.23510222,-46.723938,-0.037492722,-0.0010375977,-0.0015489196,-0.00076293945,0.003692627,-10.353088,0.0046052933,9.757935,0.088531494,-0.2871399,9.803832,0.005851518
0.0111600375,-0.0049290527,-8.485413,-0.9297888,-0.23908286,-46.29364,-0.017719299,-0.004043579,0.00936141,-0.0011444092,0.0020446777,-9.606934,-0.00035190582,9.82254,0.0,-0.27757263,9.803731,0.0040380694
0.011301244,-0.005359938,-9.341431,-0.9302429,-0.24474572,-46.47827,-0.018990502,-0.0061187744,0.016505124,-0.001083374,0.0018615723,-9.324646,0.0003414154,9.791428,0.055038452,-0.25842285,9.803582,0.001198383
