rotationVector.y,rotationVector.x,magneticField.y,rotationVector.z,gravity.y,magneticField.z,linearAcceleration.y,gyroscope.y,gravity.x,gyroscope.z,gyroscope.x,magneticField.x,linearAcceleration.z,accelerometer.z,accelerometer.x,accelerometer.y,gravity.z,linearAcceleration.x
-0.01214865,0.010665871,-15.823364,0.9917713,-0.20974743,-38.928223,-9.228289e-05,7.6293945e-05,0.23773195,-0.0001373291,7.6293945e-05,2.7694702,0.0028715134,9.810577,0.22732544,-0.20578003,9.801525,0.0010517836
-0.012150895,0.010627344,-16.514587,0.9917818,-0.20990603,-38.490295,6.766617e-05,1.5258789e-05,0.2369714,-1.5258789e-05,-0.00022888184,3.3874512,0.00016975403,9.808182,0.24645996,-0.2033844,9.801538,-0.0017749369
-0.012105829,0.010670537,-15.859985,0.991769,-0.20889789,-38.208008,0.0019393861,-6.1035156e-05,0.23772061,-0.00012207031,1.5258789e-05,3.4179688,0.0010709763,9.7986145,0.22732544,-0.20578003,9.801543,0.0012928993
-0.012097409,0.0106214415,-16.021729,0.9917822,-0.20887993,-37.6297,-4.425645e-06,1.5258789e-05,0.23672415,-0.00019836426,7.6293945e-05,3.2546997,-0.0016870499,9.817749,0.2416687,-0.2033844,9.801568,-0.0019925535
-0.012083507,0.010682723,-16.687012,0.9917652,-0.20842592,-37.53357,0.0010135323,6.1035156e-05,0.23790854,4.5776367e-05,-4.5776367e-05,3.1463623,0.003504753,9.791428,0.23210144,-0.2033844,9.801548,0.0025173724
-0.012091949,0.010611958,-15.762329,0.99178463,-0.20880161,-38.308716,0.0001757592,-4.5776367e-05,0.23652236,-1.5258789e-05,-0.00022888184,2.697754,-0.0021238327,9.812973,0.24406433,-0.20578003,9.801575,-0.002768308
-0.012035866,0.010678285,-15.467834,0.9917653,-0.2075095,-38.89618,0.0024897307,-6.1035156e-05,0.23770446,-1.5258789e-05,1.5258789e-05,3.7521362,0.0019340515,9.800995,0.22970581,-0.20578003,9.801573,0.0020075291
-0.0120392945,0.010663017,-15.171814,0.99176955,-0.20762193,-38.012695,-0.0002747774,-0.00010681152,0.23740931,-1.5258789e-05,7.6293945e-05,3.93219,-0.0007762909,9.796219,0.23928833,-0.21534729,9.801578,-0.00055640936
-0.012077108,0.010676384,-15.817261,0.9917668,-0.20831996,-37.730408,-0.0005261898,6.1035156e-05,0.23776698,4.5776367e-05,-0.00022888184,3.0212402,0.0010757446,9.796219,0.23449707,-0.21057129,9.801554,0.000750944
-0.012100758,0.01063443,-14.079285,0.99177873,-0.20890658,-36.81488,-0.00092214346,-6.1035156e-05,0.23699047,0.00022888184,-0.00010681152,4.071045,-0.00198555,9.812973,0.23928833,-0.21057129,9.80156,-0.0018050522
-0.012089862,0.0106811235,-15.556335,0.9917658,-0.2085547,-39.80713,0.0011245757,-0.00012207031,0.23789221,0.00036621094,-4.5776367e-05,3.4194946,0.0002822876,9.808182,0.24406433,-0.21296692,9.801546,0.0011195987
-0.012064418,0.010639723,-16.229248,0.99177647,-0.20818163,-39.33258,0.00096300244,-0.00010681152,0.23700736,-1.5258789e-05,-4.5776367e-05,3.2318115,-0.0015707016,9.8033905,0.23210144,-0.2033844,9.801575,-0.0018056482
-0.01208761,0.01064111,-15.881348,0.99177665,-0.20863008,-39.701843,-0.00048816204,0.0,0.23709133,0.00016784668,-0.00010681152,2.922058,0.00071907043,9.800995,0.23928833,-0.20817566,9.801564,-0.00021989644
-0.012084414,0.010614762,-15.745544,0.99178374,-0.20864624,-39.21814,-0.00025184453,0.0,0.23655978,0.00022888184,1.5258789e-05,2.8533936,-0.0022420883,9.796219,0.23449707,-0.20817566,9.801577,-0.0006224364
-0.012049642,0.010663253,-15.341187,0.99176973,-0.20782314,-37.130737,0.0020440072,6.1035156e-05,0.23743917,4.5776367e-05,-0.00010681152,3.691101,0.0005865097,9.805786,0.2368927,-0.21057129,9.801572,0.0013598651
-0.01206484,0.010651552,-15.586853,0.99177325,-0.20815462,-39.344788,-0.00048567355,-0.00016784668,0.23724353,-1.5258789e-05,-4.5776367e-05,3.0181885,0.00070762634,9.800995,0.23928833,-0.21057129,9.80157,-0.0003604144
-0.012046721,0.010674219,-14.703369,0.9917667,-0.20773344,-37.28943,0.0005324185,-0.00010681152,0.23765002,0.00010681152,7.6293945e-05,3.3950806,0.0004749298,9.8033905,0.24406433,-0.20578003,9.801569,0.00017347932
-0.012100379,0.010685928,-15.4296875,0.9917647,-0.2087456,-38.565063,-0.001577884,-0.00022888184,0.23801328,0.00016784668,-4.5776367e-05,3.2730103,-0.00094509125,9.800995,0.2368927,-0.21057129,9.801538,-0.00016346574
-0.012117502,0.010659968,-15.765381,0.9917722,-0.2091572,-38.2782,-0.0013934225,0.0,0.23753886,-1.5258789e-05,1.5258789e-05,3.7445068,0.0015974045,9.800995,0.2416687,-0.20817566,9.801542,-0.0013868064
