rotationVector_x,rotationVector_y,rotationVector_z,accelerometer_x,accelerometer_y,accelerometer_z,magneticField_x,magneticField_y,magneticField_z,gravity_x,gravity_y,gravity_z,linearAcceleration_x,linearAcceleration_y,linearAcceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
-0.9683769,0.24092464,0.057495836,-1.4165497,-0.8925171,-9.724426,15.493774,-15.411377,38.526917,-1.2334466,-0.29675728,-9.724244,0.11201155,-0.3299924,-0.18292141,0.33543396,0.0546875,3.1030426
-0.8517739,0.5200008,0.045474503,-1.076767,-0.4905243,-9.729218,1.8096924,-13.694763,38.4552,-1.2172197,-0.28563452,-9.726622,0.09026563,-0.25297695,-0.12129974,0.32363892,0.05883789,3.0391388
-0.634536,0.7701657,0.027712207,-1.1772614,-0.653244,-9.748352,-9.780884,-4.623413,38.285828,-1.2309617,-0.31142554,-9.724101,0.036517262,-0.32275456,-0.08616161,0.34239197,0.0569458,3.2561188
-0.3278991,0.94240266,0.0055821165,-1.0887299,-0.58384705,-9.722046,-13.504028,9.793091,36.769104,-1.2519294,-0.319927,-9.721148,0.048469782,-0.31471738,-0.06717968,0.38235474,0.057556152,3.5433502
0.030242981,0.99736696,-0.01861456,-1.0911255,-0.69392395,-9.688538,-6.034851,22.471619,36.02295,-1.2479287,-0.32662573,-9.721439,0.08552039,-0.3698641,-0.04904747,0.39505005,0.06677246,3.664917
0.38023108,0.9225935,-0.03995944,-1.2658081,-0.79681396,-9.743576,9.425354,26.716614,34.44214,-1.2292985,-0.33925182,-9.72338,0.13309538,-0.34684443,-0.05219364,0.39694214,0.06591797,3.6556244
0.6729813,0.73680615,-0.05512865,-1.1318054,-0.59580994,-9.655045,23.545837,20.368958,34.155273,-1.2227453,-0.3444797,-9.724022,0.12654626,-0.33723223,-0.015147209,0.38174438,0.06518555,3.5710297
0.87665445,0.47672385,-0.06340623,-1.1174469,-0.5766754,-9.6957245,32.28302,6.576538,35.520935,-1.2194254,-0.35524452,-9.724052,0.12925923,-0.2961249,-0.05984783,0.36419678,0.06341553,3.4238586
-0.98424405,-0.16409281,0.06541175,-1.0695953,-0.5934143,-9.748352,29.048157,-6.840515,36.546326,-1.2381083,-0.3581823,-9.721583,0.105567455,-0.29193008,-0.022040367,0.36219788,0.060913086,3.3569794
-0.9835228,0.16822417,0.059525248,-1.0839539,-0.51924133,-9.724426,16.944885,-15.313721,38.48877,-1.2438973,-0.36280513,-9.720673,0.13060653,-0.34272403,-0.02686882,0.3637085,0.062927246,3.407547
-0.88528645,0.46054286,0.046943318,-1.076767,-0.7465668,-9.446869,2.8320312,-14.283752,38.597107,-1.215448,-0.3455573,-9.724899,0.19355834,-0.2864311,-0.029200554,0.35479736,0.058044434,3.3281403
-0.7176514,0.6933842,0.03344852,-1.0911255,-0.41874695,-9.743576,-8.908081,-6.752014,38.34381,-1.2250571,-0.32576466,-9.724377,0.11723781,-0.20754835,-0.018403053,0.3276825,0.055648804,3.0414581
-0.5029787,0.8619443,0.017616995,-1.0576324,-0.5048828,-9.750748,-13.941956,5.244446,36.990356,-1.2096105,-0.3066152,-9.726933,0.14116931,-0.20259449,-0.02657032,0.30812073,0.047348022,2.887268
0.30942714,0.9489149,-0.032739945,-0.8159485,-0.36610413,-9.858429,-11.169434,17.089844,37.252808,-1.1735201,-0.2914586,-9.731819,0.17346895,-0.16792256,-0.022929192,0.29267883,0.046432495,2.7178192
0.53487396,0.842862,-0.04266993,-0.8494568,-0.35653687,-9.755539,-6.4483643,23.971558,36.271667,-1.1237574,-0.27632743,-9.7381315,0.16542554,-0.08540681,-0.019105911,0.2565155,0.04057312,2.397171
0.6752207,0.7354832,-0.046945617,-0.7920227,-0.26081848,-9.745972,-0.22277832,26.72882,34.98993,-1.0633953,-0.2717118,-9.745037,0.18614876,-0.051938504,-0.022947311,0.19975281,0.034454346,1.8558807
0.7374077,0.67335296,-0.04730261,-0.8925171,-0.27038574,-9.774673,4.107666,28.103638,35.92224,-1.0044215,-0.27395827,-9.751229,0.149598,0.009932458,-0.019164085,0.14001465,0.022125244,1.2853241
0.76944906,0.63661873,-0.04701662,-0.85902405,-0.22013855,-9.762711,9.379578,27.590942,34.017944,-0.9756356,-0.26545253,-9.754388,0.07857233,0.02251637,-0.010846138,0.082839966,0.013626099,0.7229004
0.7763881,0.6282846,-0.045572795,-0.9308014,-0.20817566,-9.762711,10.038757,27.853394,34.49707,-0.9413605,-0.25586376,-9.758011,0.07112694,0.030160278,-0.008060455,0.041793823,0.008132935,0.40255737
0.7681972,0.63833183,-0.04431877,-0.9906311,-0.090927124,-9.729218,9.475708,27.964783,33.86383,-0.93078554,-0.23830788,-9.759469,0.019774199,0.036996692,-0.00071048737,0.0068511963,0.0013580322,0.049179077
0.7655703,0.64143234,-0.044664536,-0.9571228,-0.26081848,-9.76033,8.712769,27.038574,33.857727,-0.94388694,-0.23579463,-9.758271,-0.018857896,0.008684933,-0.0025014877,-0.0052490234,-0.0020141602,-0.07080078
0.7615185,0.6462373,-0.044143464,-0.9667053,-0.21296692,-9.762711,7.8842163,27.835083,36.84845,-0.94787425,-0.21948501,-9.7582655,-0.0015241504,0.0069683194,0.00031757355,0.0005493164,-0.00018310547,0.0076446533
0.76173633,0.6459829,-0.04405606,-0.93559265,-0.21057129,-9.762711,9.228516,27.80304,33.91571,-0.9479148,-0.21656093,-9.758327,-0.0028936863,0.0047674477,-0.00033283234,0.0006713867,0.000869751,0.0062408447
0.76130325,0.64651084,-0.04376227,-0.94755554,-0.18664551,-9.753143,9.912109,26.974487,33.493042,-0.9442633,-0.21245834,-9.758772,0.0061489344,0.0028199852,-0.0009393692,0.00048828125,0.000869751,0.012466431
0.75858617,0.64969534,-0.04359211,-0.9451599,-0.22013855,-9.765106,9.135437,27.502441,34.236145,-0.9454509,-0.20885234,-9.758734,-0.0009085536,0.011625648,0.0021705627,-0.0021362305,1.5258789e-05,-0.013626099
0.75921607,0.64894503,-0.043829747,-0.9571228,-0.21296692,-9.762711,9.14917,27.720642,34.506226,-0.9485146,-0.21173231,-9.758375,-0.006433487,-0.0034319907,3.8146973e-06,0.00091552734,-0.00091552734,-0.008056641
0.7599826,0.6480203,-0.044178523,-0.928421,-0.2033844,-9.76033,8.900452,27.404785,35.357666,-0.9550607,-0.21371907,-9.757693,-0.006028831,0.0028730184,-0.00092220306,0.0013427734,-0.00077819824,0.0031738281
0.7623358,0.6452612,-0.04412505,-0.94277954,-0.22013855,-9.748352,9.870911,27.696228,34.321594,-0.95250034,-0.21257237,-9.757969,0.0040895343,0.0024585426,-0.0004196167,0.004043579,0.0007324219,0.037261963
0.7631237,0.6443434,-0.04399016,-0.9786682,-0.13877869,-9.743576,9.881592,28.067017,33.639526,-0.94899666,-0.21178862,-9.758327,0.00084781647,-0.0033532083,-0.0006875992,0.0017700195,0.0009765625,0.024871826
0.7627712,0.64475447,-0.04402407,-0.9643097,-0.17706299,-9.76033,8.078003,27.215576,33.918762,-0.9507443,-0.2111232,-9.75817,-0.00627476,0.0067497045,0.00087451935,-0.00061035156,0.00093078613,0.00024414062
0.76710004,0.639594,-0.044240154,-0.9403839,-0.2416687,-9.755539,9.794617,27.990723,33.325195,-0.95161486,-0.21195059,-9.758068,0.000111699104,-0.002476856,-0.000111579895,0.0045928955,0.0016021729,0.034332275
0.76975405,0.63640845,-0.044254653,-0.94755554,-0.24885559,-9.769897,10.188293,27.572632,34.283447,-0.9484806,-0.21329902,-9.758345,0.0051454306,-0.0030281395,-0.001156807,0.005996704,0.0006713867,0.061401367
0.10621967,0.9930979,-0.016018616,-0.9667053,-0.19142151,-9.772293,10.072327,26.757812,34.651184,-0.95056605,-0.2139083,-9.758128,-0.003899157,-0.0002963096,0.0030469894,0.0007324219,-0.0007324219,0.0103302
0.106203474,0.99310297,-0.015849715,-0.9403839,-0.23210144,-9.76033,9.924316,27.191162,33.988953,-0.9499529,-0.21066286,-9.758258,0.0013601184,0.0036064088,0.0020551682,-0.0004272461,0.0012969971,0.0004272461
0.1062103,0.99310166,-0.015930986,-0.9571228,-0.20100403,-9.772293,9.382629,27.58789,34.469604,-0.94982535,-0.21227102,-9.758236,-0.0016177893,-0.002914831,-0.00015926361,0.00018310547,0.00018310547,0.00019836426
0.106230915,0.9930992,-0.015941646,-0.94277954,-0.24885559,-9.777069,10.566711,26.933289,35.34546,-0.94988334,-0.21245547,-9.758226,0.0005886555,-0.0010526478,2.861023e-05,6.1035156e-05,0.00036621094,0.00030517578
0.10612497,0.9931072,-0.015915282,-0.9643097,-0.20578003,-9.743576,10.6414795,27.023315,33.699036,-0.951337,-0.21187827,-9.758097,-0.007262826,-0.00043195486,1.7166138e-05,0.0,0.0,-4.5776367e-05
0.1061948,0.993103,-0.015877478,-0.98583984,-0.22732544,-9.76033,10.031128,27.861023,33.36792,-0.95018876,-0.21119232,-9.758224,0.0017117262,0.00057563186,-0.0015649796,-0.00079345703,0.0005493164,-6.1035156e-05
0.105926536,0.99311924,-0.016016994,-0.9523468,-0.1986084,-9.74118,10.670471,27.528381,34.631348,-0.9545786,-0.21371807,-9.757741,-0.0063565373,-0.0007304698,0.00076007843,0.0014038086,-0.0007324219,0.00038146973
0.1060686,0.9931111,-0.015923154,-0.9260254,-0.20817566,-9.755539,9.703064,27.690125,33.569336,-0.9521858,-0.21199454,-9.758012,-0.0020863414,0.002329588,0.00090408325,-0.00048828125,0.0017852783,0.0011138916
0.10973676,0.99271876,-0.015979942,-0.9667053,-0.20100403,-9.757935,10.018921,27.566528,33.532715,-0.95011723,-0.20991172,-9.758258,0.0010846257,0.00048588216,0.00040340424,0.0022583008,0.002029419,0.030181885
0.11045416,0.99264824,-0.015988648,-0.928421,-0.27278137,-9.757935,10.173035,27.204895,34.436035,-0.94652176,-0.20981734,-9.75861,0.00439471,0.0006119162,0.00035953522,0.001953125,0.00062561035,0.021377563
0.111549765,0.99252206,-0.016031906,-0.9571228,-0.18902588,-9.762711,10.025024,27.635193,33.92639,-0.9480637,-0.2094763,-9.758468,-0.0035188794,-0.0011385232,-0.0019683838,0.0012817383,0.0005493164,0.008560181
0.11153817,0.99252397,-0.016026186,-0.98583984,-0.18664551,-9.769897,9.738159,26.521301,34.162903,-0.9478396,-0.20939979,-9.7584915,0.003045261,0.010713711,0.002688408,-0.00030517578,7.6293945e-05,0.003540039
0.11269958,0.99237895,-0.016510213,-0.9308014,-0.21534729,-9.726822,9.664917,26.585388,34.780884,-0.9436714,-0.21173376,-9.758844,-0.0038953424,-0.022134408,-0.0017967224,0.004348755,-0.0014038086,0.01210022
0.10442117,0.993307,-0.015785744,-0.9667053,-0.21296692,-9.769897,10.403442,26.92566,34.820557,-0.94551164,-0.20734273,-9.75876,-0.006091416,-0.0020708144,-0.00021457672,-0.01171875,-0.0014648438,-0.10609436
