rotationVector_x,rotationVector_y,rotationVector_z,accelerometer_x,accelerometer_y,accelerometer_z,magneticField_x,magneticField_y,magneticField_z,gravity_x,gravity_y,gravity_z,linearAcceleration_x,linearAcceleration_y,linearAcceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.010930425,-0.0123346215,0.99384415,0.23928833,-0.21894836,9.8033905,3.2531738,-15.791321,-39.094543,0.23956573,-0.21694691,9.801323,0.001636818,0.0015933961,-0.00074863434,-1.5258789e-05,9.1552734e-05,-6.1035156e-05
0.010919079,-0.0123754265,0.9938478,0.23880005,-0.21679688,9.803879,2.0065308,-15.158081,-37.628174,0.23942418,-0.21777536,9.801308,-0.00014464557,-0.00163804,0.001250267,-1.5258789e-05,9.1552734e-05,6.1035156e-05
0.010906007,-0.012332397,0.99385047,0.23928833,-0.21534729,9.800995,3.1295776,-15.226746,-37.765503,0.23907304,-0.21696927,9.801333,-0.00030103326,0.0016474277,0.0016241074,-7.6293945e-05,-9.1552734e-05,0.0
0.010903682,-0.012338821,0.9938512,0.2368927,-0.21655273,9.798126,2.5405884,-15.623474,-38.8031,0.23904,-0.21710117,9.801332,-0.00047114491,7.753074e-05,-0.0020961761,-1.5258789e-05,-9.1552734e-05,0.00012207031
0.01088509,-0.012312745,0.99385566,0.2400055,-0.21821594,9.803879,1.7333984,-15.449524,-39.790344,0.238614,-0.21664146,9.801353,-0.0009889603,0.000792101,-0.0013980865,0.00010681152,9.1552734e-05,6.1035156e-05
0.010913998,-0.012343743,0.99384856,0.23904419,-0.21749878,9.804596,2.7755737,-15.829468,-38.09967,0.23925647,-0.21716958,9.801326,0.0014550686,-0.0012803972,0.0020971298,-1.5258789e-05,3.0517578e-05,0.00018310547
0.010888109,-0.012374678,0.99385583,0.23904419,-0.21798706,9.801712,2.9754639,-15.092468,-37.579346,0.23880357,-0.21784423,9.801321,-0.0007380992,-0.0013171285,-0.0005531311,4.5776367e-05,9.1552734e-05,0.00035095215
0.010886769,-0.012366446,0.9938561,0.2400055,-0.21702576,9.802429,2.3742676,-15.783691,-38.29956,0.2387596,-0.21768689,9.801326,0.00051774085,0.00018286705,-0.0005378723,4.5776367e-05,-0.0001373291,0.00030517578
0.010916167,-0.012356117,0.9938482,0.24023438,-0.21894836,9.801239,2.6245117,-15.545654,-38.7146,0.23932564,-0.21740566,9.801318,0.0001732558,0.0003965497,0.0006046295,-7.6293945e-05,-0.0001373291,0.00018310547
0.010926537,-0.012380713,0.99384594,0.24095154,-0.21702576,9.802444,2.8182983,-14.955139,-37.846375,0.2395843,-0.2178586,9.801302,0.00040729344,-0.0005888641,-0.00038719177,-7.6293945e-05,0.00015258789,0.00024414062
0.010938687,-0.012386086,0.99384284,0.24023438,-0.21894836,9.798843,2.8152466,-15.029907,-37.55951,0.23983838,-0.21793087,9.801294,0.00087732077,0.00019428134,-0.00058460236,-1.5258789e-05,-0.00019836426,0.00024414062
0.010953061,-0.012399256,0.99383926,0.2400055,-0.21678162,9.800995,2.8457642,-16.119385,-38.08441,0.24015321,-0.21814956,9.801282,8.840859e-05,-0.00080537796,-0.0011816025,0.00016784668,-3.0517578e-05,0.00012207031
0.01096434,-0.012358564,0.9938357,0.2400055,-0.21702576,9.802444,2.6382446,-15.405273,-37.78076,0.2402936,-0.21732345,9.801297,-5.3673983e-05,0.0012539625,0.00016880035,4.5776367e-05,-9.1552734e-05,0.00035095215
0.010957231,-0.012349794,0.99383736,0.23736572,-0.21942139,9.8033905,2.305603,-15.571594,-38.17749,0.24013318,-0.21717116,9.801304,-0.0006214678,-9.377301e-05,0.000916481,0.00010681152,-3.0517578e-05,0.00018310547
0.010916758,-0.012371192,0.9938483,0.23928833,-0.21655273,9.800049,2.243042,-15.213013,-37.875366,0.23936893,-0.21769883,9.801311,-0.0020197332,-0.0012345016,0.00092983246,4.5776367e-05,-0.0001373291,0.00018310547
0.010921273,-0.0123741515,0.9938472,0.23951721,-0.21774292,9.799561,3.0929565,-15.95459,-38.28888,0.23946537,-0.21774451,9.801308,0.00029326975,4.053116e-06,-0.0011405945,-7.6293945e-05,0.00015258789,0.00030517578
0.010924833,-0.012372874,0.99384624,0.23808289,-0.21894836,9.799805,2.5497437,-15.481567,-38.095093,0.23953384,-0.21770991,9.801306,0.00048589706,0.00042706728,-0.0013914108,4.5776367e-05,-9.1552734e-05,0.00018310547
0.010897439,-0.012388271,0.9938536,0.23832703,-0.21942139,9.7986145,2.6687622,-14.74762,-37.64801,0.23901843,-0.21808487,9.801311,-0.0013848394,-0.0013581663,-0.00077724457,0.0004119873,-3.0517578e-05,0.00018310547
0.0108945565,-0.012367497,0.99385405,0.24047852,-0.2163086,9.803162,2.0629883,-15.737915,-37.44507,0.23891746,-0.21768646,9.801322,-0.00032021105,-0.00079740584,-0.00020313263,4.5776367e-05,9.1552734e-05,-0.00018310547
0.010927046,-0.01236108,0.99384546,0.23976135,-0.2182312,9.803635,2.6123047,-15.838623,-38.623047,0.23955345,-0.21747337,9.8013115,0.0016501993,0.00044037402,0.0014591217,4.5776367e-05,9.1552734e-05,0.00018310547
0.0109186405,-0.012369242,0.9938478,0.23951721,-0.21870422,9.803635,2.922058,-15.881348,-39.624023,0.23940249,-0.2176556,9.801311,0.0003450811,-0.0005630851,0.0017595291,-1.5258789e-05,-3.0517578e-05,6.1035156e-05
0.010910803,-0.012394414,0.99385023,0.23928833,-0.21846008,9.803635,2.949524,-15.679932,-37.319946,0.23929842,-0.21816897,9.801303,-0.00052656233,-0.00075368583,0.0011777878,4.5776367e-05,9.1552734e-05,0.0
0.01089761,-0.012377558,0.99385345,0.23951721,-0.21751404,9.803146,2.241516,-17.108154,-37.657166,0.23899952,-0.21787496,9.801316,7.137656e-06,0.0003951341,0.0007791519,-7.6293945e-05,9.1552734e-05,0.0
0.010891161,-0.012382857,0.9938552,0.237854,-0.22013855,9.802429,2.230835,-15.505981,-37.70752,0.23888165,-0.21799593,9.801316,0.00012061,-0.00019700825,0.00035381317,-1.5258789e-05,3.0517578e-05,-0.00018310547
