rotationVector_x,rotationVector_y,rotationVector_z,accelerometer_x,accelerometer_y,accelerometer_z,magneticField_x,magneticField_y,magneticField_z,gravity_x,gravity_y,gravity_z,linearAcceleration_x,linearAcceleration_y,linearAcceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.098001175,0.09718594,0.5536643,-0.63648987,2.7517395,9.51387,21.887207,-1.8341064,-39.094543,-0.50114983,2.6338537,9.43303,-0.4015842,0.47853494,-0.15904427,-0.3098297,-0.11123657,0.0038909912
0.09975181,0.08058906,0.5540654,-0.023925781,2.4215393,9.5234375,20.84961,-1.5319824,-40.04669,-0.21610777,2.4850273,9.484109,-0.23771992,0.060849667,0.027929306,-0.06549072,-0.1777649,0.06376648
0.10082944,0.07517415,0.5543775,-0.653244,2.8737793,8.078171,21.168518,-1.5060425,-40.35797,-0.11667518,2.4443667,9.496413,0.03536573,-0.020541668,0.008090019,0.0059814453,-0.021453857,-0.0074005127
0.09214902,0.0739666,0.5630691,-1.0552368,1.4428711,10.018753,22.306824,-1.2115479,-40.4953,-0.16891733,2.2951229,9.5328,0.10041274,0.14113164,-1.2835426,-0.5037842,0.41429138,0.09881592
-0.070006505,0.054740064,0.54825383,-1.4021912,-1.8017883,16.764114,27.398682,9.211731,-34.353638,-1.6455934,-0.5531804,9.651756,2.3830376,2.5326128,-0.93528175,-1.6086121,0.08074951,-0.9061127
-0.031378094,-0.07673989,0.42528278,-0.095718384,-4.342972,7.4895325,18.934631,23.982239,-37.190247,1.0947686,-1.1947604,9.671837,-1.4400871,0.17730367,2.2940435,-0.024429321,-1.0767822,-0.9674988
-0.079131864,-0.140302,0.4141232,0.035888672,-0.23210144,6.3146667,9.992981,27.546692,-37.98523,1.8224648,-2.5299776,9.297753,-1.3466415,-1.5233033,-0.12557793,-0.54704285,-0.8303528,-0.0054473877
-0.05508363,-0.11742451,0.4459675,1.6582336,-0.0023956299,11.825333,6.665039,28.179932,-35.1532,1.5578027,-1.9838787,9.476701,1.2719735,-1.7482032,-0.4086666,0.5877075,1.037857,0.28453064
-0.009259838,-0.09721859,0.43331572,2.2588196,-0.71066284,10.066605,10.173035,22.531128,-38.1073,1.6296523,-0.98895276,9.619594,-0.47317064,-0.47337538,0.3853941,0.44317627,-0.63072205,0.042755127
0.028631948,-0.13431916,0.44463485,2.3665009,-0.28953552,9.932602,6.7626953,20.274353,-39.787292,2.581491,-0.6743102,9.436715,-0.26116753,-0.34398115,-0.00084400177,0.44647217,-0.3715973,0.21318054
0.028704133,-0.07026462,0.46862194,0.17706299,-0.19381714,9.61676,12.919617,17.700195,-40.411377,1.4767547,-0.15031861,9.693657,0.85799086,0.13103773,-1.9825687,0.09901428,1.4527588,0.2186737
-0.005497086,-0.0026072247,0.476144,0.086135864,-0.17468262,9.7986145,18.46466,17.17987,-38.406372,-0.0063694417,-0.11915585,9.805925,-0.15329279,-0.4207427,0.31829262,0.0011444092,0.0017089844,0.00010681152
-0.005503987,-0.002871889,0.4715349,0.095718384,-0.18424988,9.808182,18.222046,17.3172,-39.35089,0.0038386784,-0.12449482,9.80586,0.094544634,-0.0582363,0.07845497,0.00010681152,0.0,-1.5258789e-05
-0.0055173524,-0.0033976727,0.46324214,0.098098755,-0.17706299,9.810577,18.6203,17.120361,-38.87787,0.008927479,-0.12676993,9.805827,0.08708642,-0.05435203,0.070996284,0.00010681152,-0.00018310547,4.5776367e-05
