rotationVector_x,rotationVector_y,rotationVector_z,accelerometer_x,accelerometer_y,accelerometer_z,magneticField_x,magneticField_y,magneticField_z,gravity_x,gravity_y,gravity_z,linearAcceleration_x,linearAcceleration_y,linearAcceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.98128194,-0.12874956,-0.05706373,1.9549408,4.175476,-9.372681,1.0971069,-28.901672,28.448486,-0.7665711,2.6720977,-9.404394,0.4601701,2.2133102,0.9665985,0.059509277,0.3323822,-0.7255249
0.9892612,0.009390309,0.013810146,2.0769653,3.4624176,-8.415558,7.6950073,-25.637817,30.731201,0.24121135,2.8198352,-9.389394,1.5558798,2.858767,-0.7311115,-0.06401062,0.9973755,-1.8863068
0.9544181,0.27467272,0.05760149,5.481964,-0.87815857,-9.169296,14.329529,-12.538147,34.033203,0.5309034,2.212235,-9.539106,3.605024,-2.208266,0.9662905,0.9984131,0.5984802,-2.8734741
0.8353298,0.5454858,0.06604248,2.6847534,-1.414154,-10.217346,13.711548,-6.9900513,37.001038,0.8943091,0.99401253,-9.715068,3.7892287,-4.1130657,-0.6664057,0.35925293,0.57862854,-2.2176971
0.7871959,0.6109934,0.08280452,0.68196106,0.41156006,-9.554535,13.700867,-8.64563,34.39789,1.1301979,1.1833167,-9.6691675,-0.16917992,-0.63688743,-0.29658508,-0.2490387,-0.06871033,-0.11276245
0.7917778,0.60612494,0.07549991,2.3377838,0.9762726,-10.107285,14.602661,-8.604431,36.558533,1.1667644,0.90499973,-9.694845,0.8578062,-0.1281963,-0.24136066,-0.032058716,0.07710266,0.15766907
0.802058,0.5912989,0.0828672,1.7036896,0.727417,-9.74118,14.424133,-8.74939,35.102844,1.1388854,1.1844409,-9.668011,0.5620893,-0.33311832,-1.2793674,0.10116577,-0.003829956,0.010437012
0.80549735,0.5895946,0.059162658,0.72262573,1.5146637,-10.298706,18.661499,-9.265137,34.44519,0.85126305,0.79811275,-9.7369795,-0.65192324,0.15282309,0.385314,0.11735535,-0.608902,0.18441772
0.8257137,0.5634156,0.012844599,1.8592224,-1.730011,-9.669403,19.1391,-11.122131,33.670044,-0.06148312,0.53690565,-9.791749,0.87858254,-1.0924838,0.6428814,0.120895386,-0.20628357,0.22125244
0.87203896,0.4886857,-0.0044747205,-0.49291992,1.6797638,-10.320251,11.679077,-21.304321,32.354736,-0.33269677,0.41422322,-9.792248,0.72041726,0.30869228,0.14685154,-0.1960144,-0.34121704,2.1151428
0.99506944,-0.0808399,0.0044673644,2.3856506,3.797409,-8.382065,-1.876831,-24.253845,33.369446,0.17801726,1.1109498,-9.741894,1.7286503,1.459241,1.5363951,-0.6746979,-0.33584595,3.3078613
0.97651404,-0.008658041,0.045128174,3.3882294,6.685547,-14.617752,-24.066162,-34.214783,9.144592,0.9000697,4.023905,-8.897665,-0.10111731,2.4937391,-0.9350805,-2.5372925,0.3602295,1.4875336
0.91140306,-0.08562572,0.18431391,2.4358978,5.350357,-1.2993011,-23.175049,-32.774353,-18.461609,3.8956635,6.086866,-6.629046,0.6757541,-0.78213453,-1.163465,-1.7384033,2.0784912,0.33366394
0.71826625,-0.080464944,0.20396973,3.4337006,5.572891,6.5850525,-18.811035,-18.3609,-34.88617,3.9155357,8.980328,-0.43896472,-1.7774215,-3.0706358,1.9094728,-3.0427246,0.19358826,-0.14447021
0.5130393,-0.071071036,0.30344418,1.277771,2.251648,-1.4667969,-13.600159,-14.332581,-39.64081,4.16823,7.6248026,4.5451784,0.31384087,-2.5031476,1.6810398,-1.8410339,1.3596191,0.14813232
0.44779956,-0.020810707,0.24442539,9.12384,6.8745728,6.443878,-12.043762,-11.59668,-40.5838,2.4976978,7.4519267,5.86521,2.49806,-0.31901407,4.9021926,-1.2491608,-0.17134094,-1.0355377
0.39585412,0.002035672,0.20063132,3.2087708,-3.4719849,19.987244,-6.2530518,-13.165283,-42.72461,1.5219237,6.9655404,6.7331553,-1.742994,-0.98789597,-3.7628317,0.533844,0.42547607,-1.3652954
0.24929611,0.018046286,0.065674864,-2.6440735,5.819351,4.0821533,-10.687256,-13.2369995,-43.237305,-0.02080484,4.746665,8.581326,-1.0018054,0.45723915,-0.6060095,-0.24330139,-0.8434143,-0.61312866
0.33027294,-0.06033584,-0.016825924,2.7493591,8.391632,8.243271,-21.055603,-14.117432,-37.3291,1.0055236,6.1206803,7.595826,0.3066669,-0.68399,2.7602158,-0.53089905,-1.436264,-0.5451355
0.3346942,-0.19266902,-0.11844657,-1.076767,10.454239,9.43251,-28.805542,-22.607422,-24.090576,2.6793153,6.452653,6.881492,1.3132942,2.8860464,1.3360963,0.36445618,-1.8100586,-1.1380463
0.33086753,-0.30292767,-0.3519499,5.682953,1.524231,17.249863,-27.081299,-27.763367,-21.359253,2.5970347,7.422245,5.859699,-0.57656837,-4.060911,0.5264745,0.3167572,-1.5844574,-1.6491089
0.29198873,-0.28047016,-0.37478998,2.629715,6.4366913,2.7541351,-24.577332,-31.852722,-17.689514,2.441601,6.8380933,6.59162,-2.8759534,0.9018755,-4.1170087,0.36054993,-0.08380127,-0.23561096
0.41098332,-0.34628147,-0.40200606,0.37088013,9.693329,3.5724792,-23.143005,-34.550476,-14.822388,1.7944541,8.7059965,4.141973,0.32006967,0.29569912,1.6978407,-0.344635,0.61338806,0.34172058
0.45249146,-0.252839,-0.40654528,-5.9078827,5.4723816,2.100891,-19.52362,-33.535767,-20.579529,0.12292774,8.69314,4.5370255,-5.310337,0.84211254,-2.0891218,-0.23260498,0.42663574,-0.9737854
0.36565864,-0.23066728,-0.40114447,1.7467651,11.777481,-0.87338257,-16.818237,-31.57196,-25.198364,0.77664834,7.606545,6.1406565,6.2305264,0.24907827,3.4381094,-0.9007263,0.21252441,1.5741577
0.40988123,-0.31110734,-0.40855706,10.408783,-3.8931274,27.84288,-20.370483,-30.366516,-22.994995,1.3154364,8.553248,4.613236,-2.651949,-2.7497263,1.5856781,0.710022,-1.0994263,-1.3756104
0.29482108,-0.26924497,-0.43987164,-7.1688995,4.3094788,4.5272217,-19.967651,-32.159424,-23.226929,1.7044766,6.9743886,6.6800485,-3.8213763,-0.1980362,-3.9710846,1.0007935,-0.53089905,-0.0026855469
0.4096511,-0.3240146,-0.5287055,-1.8759766,6.0155487,0.5766754,-15.270996,-38.40027,-15.023804,0.0040728203,8.735737,4.4561524,-2.672488,-4.4409046,1.6065826,0.07380676,-0.09346008,-0.08265686
0.45901382,-0.4138374,-0.3491761,9.109482,5.414963,5.8408813,-22.02301,-35.305786,-11.247253,2.573525,9.175345,2.3152502,1.9636235,-3.636879,1.2381918,0.19303894,2.027359,2.9414673
