rotationVector_x,rotationVector_y,rotationVector_z,accelerometer_x,accelerometer_y,accelerometer_z,magneticField_x,magneticField_y,magneticField_z,gravity_x,gravity_y,gravity_z,linearAcceleration_x,linearAcceleration_y,linearAcceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
-0.05400769,-0.16532154,-0.97334224,0.3517456,3.7950134,10.332214,0.021362305,-33.48236,-28.804016,1.5158564,2.9976795,9.213387,-0.7317512,0.22075129,-0.14311028,-0.5517273,-0.099609375,-0.48207092
-0.06528123,-0.12797861,-0.9769214,1.758728,1.9932251,9.662216,-0.0076293945,-32.395935,-28.205872,1.6475868,2.2497704,9.401829,-0.8586755,1.5477114,1.930809,-0.4335785,-0.10168457,0.035629272
-0.039461564,-0.14431068,-0.9734995,1.1724854,2.7110748,10.430313,0.033569336,-33.57086,-26.63269,1.2430149,2.6215336,9.36765,0.38655007,-0.20324492,-0.22389793,0.22657776,0.26519775,0.13606262
-0.02194949,-0.19074881,-0.9572783,2.7637177,4.067795,10.997406,-2.5939941,-37.121582,-23.849487,1.2210374,3.4882994,9.083569,0.23776305,0.42124033,0.006512642,0.5200958,0.1558075,0.416687
0.013137312,-0.24917385,-0.9436283,0.39720154,4.78804,5.453247,-1.4465332,-37.216187,-20.672607,0.8197985,4.667668,8.585522,0.6833497,-0.16132545,-1.1688948,0.6671295,0.24351501,-0.013916016
0.03188331,-0.20723912,-0.95480466,0.27278137,4.5726776,7.487137,1.3900757,-34.30481,-23.970032,0.25923976,4.012682,8.944359,0.16131246,0.62051344,-0.44352722,-0.40975952,0.25195312,-0.15899658
0.03909823,-0.094708644,-0.9669995,-1.7850494,2.3401794,8.891724,-0.5569458,-30.166626,-26.760864,-0.30823374,1.9751289,9.600742,-0.27310914,1.1747243,2.6978092,-1.1316833,0.33717346,0.111190796
0.019960836,-0.15743479,-0.95092046,2.2468567,1.138977,8.087738,-4.0374756,-35.021973,-22.924805,0.44797316,3.0402658,9.312706,1.0069287,-1.5286818,1.6048975,0.625473,-0.24951172,0.51612854
0.013694194,-0.18892598,-0.96035373,3.287735,2.8378906,9.379868,0.5722046,-32.296753,-24.673462,0.5000077,3.6134934,9.102914,1.1222925,-1.2914987,-3.4654837,0.28529358,-0.19203186,-0.5361328
-0.046118304,-0.15699331,-0.98548335,-0.8111725,3.419342,6.8482513,3.6712646,-28.701782,-29.203796,1.030774,2.993516,9.2815275,0.6641128,0.7944958,0.79734135,-0.47151184,-0.8136444,-1.4715118
0.1212574,0.15685648,0.9759518,0.33259583,3.5198364,8.877365,8.296204,-32.36847,-24.476624,2.0422952,3.2179914,9.035704,-1.5962977,-0.55316615,4.222144,-0.06565857,-1.1026459,-1.4149323
0.091461785,0.28862545,0.95171493,0.119644165,4.7856445,10.076172,8.261108,-33.399963,-23.10028,1.4203364,5.4784803,8.008701,0.8965229,-0.8420949,1.8378243,0.3531494,0.34083557,0.7052002
