rotationVector.y,rotationVector.x,magneticField.y,rotationVector.z,gravity.y,magneticField.z,linearAcceleration.y,gyroscope.y,gravity.x,gyroscope.z,gyroscope.x,magneticField.x,linearAcceleration.z,accelerometer.z,accelerometer.x,accelerometer.y,gravity.z,linearAcceleration.x
-0.012264281,0.010879805,-15.904236,0.9938562,-0.21570809,-38.7146,0.00014215708,-0.0001373291,0.23840722,-0.00010681152,-0.00016784668,2.6870728,0.0010976791,9.804108,0.24023438,-0.21487427,9.801379,-0.0015427023
-0.01227093,0.010930293,-15.504456,0.99384314,-0.2149893,-37.182617,0.00040137768,0.00015258789,0.23892803,-0.00016784668,0.0002593994,2.3162842,0.00032901764,9.801483,0.23951721,-0.2163086,9.801382,-0.0013650656
-0.012236029,0.0109086875,-15.135193,0.9938482,-0.21507783,-37.712097,-0.0004775375,9.1552734e-05,0.23892537,-0.00022888184,-4.5776367e-05,2.3284912,-0.0005788803,9.800995,0.2368927,-0.21655273,9.80138,0.00032290816
-0.01226493,0.010855117,-15.898132,0.9938627,-0.21578728,-38.191223,-0.0009836853,9.1552734e-05,0.23791519,-0.00016784668,-0.00016784668,2.8533936,-0.0023126602,9.805313,0.23736572,-0.21678162,9.801389,-0.0012783706
-0.012282724,0.010849492,-15.602112,0.9938644,-0.21615034,-38.51013,-0.0006040633,9.1552734e-05,0.2378399,-0.00016784668,0.0001373291,2.8640747,0.001490593,9.8022,0.23904419,-0.2172699,9.801383,-1.5854836e-05
-0.012304753,0.01085288,-16.281128,0.99386394,-0.21657194,-38.183594,-0.0011429489,-9.1552734e-05,0.23795356,-0.00016784668,-0.00016784668,2.59552,3.4332275e-05,9.800522,0.23808289,-0.21606445,9.801371,0.0003426671
-0.012286896,0.010882131,-15.2771,0.993856,-0.21614401,-36.917114,0.001283899,-3.0517578e-05,0.2385009,-4.5776367e-05,1.5258789e-05,2.4902344,-0.001241684,9.804596,0.23904419,-0.21487427,9.801367,0.0005276948
-0.012274255,0.010870585,-14.927673,0.9938588,-0.21592796,-38.008118,-0.00012104213,3.0517578e-05,0.23824379,-0.00048828125,7.6293945e-05,3.2211304,0.00012111664,9.800766,0.23832703,-0.2172699,9.801378,-0.00017796457
-0.012302351,0.010894959,-15.002441,0.9938529,-0.21641164,-38.72986,-0.0005954951,3.0517578e-05,0.23878954,-0.00022888184,1.5258789e-05,2.005005,0.00024700165,9.804352,0.24072266,-0.21487427,9.801354,0.0009512603
-0.012268194,0.010894318,-15.560913,0.9938525,-0.2157455,-37.47406,0.0006928295,0.00015258789,0.2387054,-0.00010681152,0.0001373291,3.5980225,0.00429821,9.809143,0.23640442,-0.21751404,9.801371,0.00026607513
-0.012307325,0.010857332,-15.989685,0.9938628,-0.21661025,-37.898254,-0.0020331591,-7.6293945e-05,0.23804791,-0.00016784668,-0.00016784668,2.6123047,-0.00048446655,9.79454,0.23808289,-0.2182312,9.801368,-0.0012220591
-0.012293952,0.010843772,-15.818787,0.99386615,-0.21638526,-38.104248,0.0010947585,-0.00019836426,0.23774901,-0.00016784668,1.5258789e-05,2.935791,-0.00031757355,9.803879,0.23760986,-0.21511841,9.801379,-0.00067457557
-0.012311558,0.01088993,-15.855408,0.99385434,-0.21660519,-37.78839,-0.0006555766,-9.1552734e-05,0.23870824,-0.00022888184,-4.5776367e-05,2.456665,-0.0043563843,9.80603,0.23951721,-0.21894836,9.801352,0.00079889596
-0.012341494,0.01089037,-15.742493,0.9938547,-0.21718931,-38.69171,-0.0007851571,-0.0001373291,0.2387795,-0.00035095215,-4.5776367e-05,2.935791,0.00029563904,9.804596,0.23783875,-0.21870422,9.801336,-0.00022217631
-0.012382001,0.0108749755,-15.037537,0.9938594,-0.2180228,-37.226868,-0.0013534576,3.0517578e-05,0.23855631,-0.00022888184,-4.5776367e-05,3.8635254,0.0029067993,9.800766,0.23953247,-0.2163086,9.801323,-0.00052282214
-0.012341935,0.010896895,-15.849304,0.99385303,-0.21718036,-39.03656,0.0011440367,3.0517578e-05,0.23891085,-0.00016784668,1.5258789e-05,3.4942627,-0.00013065338,9.800995,0.23808289,-0.21487427,9.801333,0.0005738884
-0.012290952,0.0108762365,-15.368652,0.99385756,-0.21623917,-36.216736,0.002091825,0.00015258789,0.23839155,-0.000289917,1.5258789e-05,3.3737183,-0.0029668808,9.8033905,0.23760986,-0.21343994,9.801367,-0.00079247355
-0.012260375,0.010867682,-14.974976,0.99385935,-0.21566436,-38.139343,0.0012858808,9.1552734e-05,0.23815677,-0.00010681152,-4.5776367e-05,2.4932861,0.0012149811,9.805542,0.23880005,-0.2172699,9.801385,-9.9018216e-05
-0.012273251,0.01087325,-16.020203,0.9938581,-0.21590112,-37.35962,-0.00059857965,3.0517578e-05,0.2382949,6.1035156e-05,1.5258789e-05,2.2109985,0.0027189255,9.801239,0.2359314,-0.21368408,9.801376,0.0006907433
-0.012223919,0.010825252,-15.484619,0.9938698,-0.21506579,-37.716675,0.0014168471,3.0517578e-05,0.23723283,1.5258789e-05,-4.5776367e-05,2.5527954,-0.0015392303,9.803162,0.23832703,-0.21678162,9.801421,-0.0018132031
-0.012263709,0.010852731,-15.963745,0.9938633,-0.21576983,-37.834167,-0.0007496625,-0.0001373291,0.23786497,7.6293945e-05,1.5258789e-05,3.0151367,-0.00022697449,9.803162,0.23928833,-0.21463013,9.801391,0.0011425912
-0.012250408,0.01087131,-15.779114,0.9938582,-0.2154597,-37.399292,0.0003659129,-0.00019836426,0.23820846,0.0001373291,-4.5776367e-05,2.545166,-0.00078105927,9.804352,0.23664856,-0.21534729,9.801388,0.00033549964
-0.012245667,0.010868496,-14.956665,0.9938589,-0.21537462,-35.69641,0.000550434,-3.0517578e-05,0.23814237,0.00038146973,-0.00016784668,1.9500732,0.0023593903,9.799561,0.23832703,-0.21583557,9.801393,-0.001060918
-0.012261812,0.01087257,-15.335083,0.9938581,-0.2156793,-38.41095,0.00010626018,-3.0517578e-05,0.23825747,6.1035156e-05,1.5258789e-05,3.5995483,-0.0028867722,9.802673,0.23857117,-0.21391296,9.801383,4.9233437e-05
-0.012240564,0.010881746,-16.326904,0.9938553,-0.21523915,-37.864685,0.00084897876,-9.1552734e-05,0.2383965,7.6293945e-05,1.5258789e-05,1.953125,-0.0006542206,9.801483,0.23857117,-0.21606445,9.80139,0.0003913045
-0.012251278,0.010895749,-16.444397,0.99385184,-0.21541086,-38.72986,-0.00063841045,-3.0517578e-05,0.23869865,-0.00016784668,0.0001373291,2.2628784,0.00036144257,9.800049,0.23928833,-0.21559143,9.801377,-0.00014428794
-0.012239154,0.010881701,-15.270996,0.9938553,-0.21521169,-37.339783,-0.00013364851,9.1552734e-05,0.23839262,-0.00035095215,1.5258789e-05,3.6117554,-0.001200676,9.802673,0.23951721,-0.2163086,9.80139,-0.0003118813
-0.0122701945,0.010899324,-15.280151,0.99385124,-0.2157711,-37.56256,-0.0009974986,0.00015258789,0.2388096,-0.000289917,-0.00010681152,3.4500122,0.0009584427,9.8029175,0.23736572,-0.21702576,9.801367,0.0011814684
-0.012296657,0.010890405,-15.690613,0.993854,-0.21631256,-38.74359,-0.00093886256,-9.1552734e-05,0.2386866,-0.00022888184,0.00019836426,2.6184082,0.00047683716,9.801483,0.23832703,-0.21583557,9.801358,-0.00013583899
-0.01225656,0.010867874,-15.800476,0.99385923,-0.21558926,-38.381958,0.0007119328,9.1552734e-05,0.23815265,-0.00010681152,7.6293945e-05,4.3045044,-0.0019159317,9.799088,0.23712158,-0.21440125,9.801387,-0.0010124296
